id,base_model
saiffff/distilbert-imdb-sentiment,distilbert/distilbert-base-uncased
Adnan-AI-Labs/DistilBERT-ProductClassifier,distilbert/distilbert-base-uncased
holistic-ai/rejection_detection,distilbert/distilroberta-base
protectai/distilroberta-base-rejection-v1,distilbert/distilroberta-base
ChijoTheDatascientist/summarization-model,facebook/bart-base
DeepPavlov/bart-base-en-persona-chat,facebook/bart-base
DeepPavlov/mbart-large-50-ru-persona-chat,facebook/mbart-large-50
4darsh-Dev/CogniBERT-fineTuned-dark-pattern,google-bert/bert-base-uncased
BinghamtonUniversity/llama3.1-8b-instruct-hasanpiker-gguf,meta-llama/Llama-3.1-8B
solidrust/Meta-Llama-3-8B-hf-AWQ,Undi95/Meta-Llama-3-8B-hf
jangmin/merged-llama2-7b-chat-hf-food-order-understanding-30K,meta-llama/Llama-2-7b-chat-hf
vakodiya/Llama-3-8B-instruct-4bit-salesbot,meta-llama/Llama-3.1-8B-Instruct
Elkhayyat17/llama2-Med-gguf,meta-llama/Llama-2-7b-chat-hf
remyxai/PoseFlorence-2,microsoft/Florence-2-base-ft
Mit1208/Kosmos-2-PokemonCards-trl-merged,microsoft/kosmos-2-patch14-224
justinj92/phi-med-v1,microsoft/Phi-2
ChunB1/Phi-3-interact,microsoft/Phi-3-small-8k-instruct
rohansolo/BB-Mixtral-HindiHinglish-8x7B-v0.1,mistralai/Mixtral-8x7B-v0.1
RichardErkhov/0-hero_-_Matter-0.1-7B-boost-DPO-preview-gguf,0-hero/Matter-0.1-7B-boost-DPO-preview/
RichardErkhov/0-hero_-_Matter-0.1-7B-boost-gguf,0-hero/Matter-0.1-7B-boost/
RichardErkhov/0-hero_-_Matter-0.1-7B-DPO-preview-gguf,0-hero/Matter-0.1-7B-DPO-preview/
RichardErkhov/0-hero_-_Matter-0.1-7B-gguf,0-hero/Matter-0.1-7B/
RichardErkhov/0-hero_-_Matter-0.1-Slim-7B-A-gguf,0-hero/Matter-0.1-Slim-7B-A/
RichardErkhov/0-hero_-_Matter-0.1-Slim-7B-B-gguf,0-hero/Matter-0.1-Slim-7B-B/
RichardErkhov/0-hero_-_Matter-0.1-Slim-7B-C-DPO-8bits,0-hero/Matter-0.1-Slim-7B-C-DPO/
RichardErkhov/0-hero_-_Matter-0.1-Slim-7B-C-DPO-4bits,0-hero/Matter-0.1-Slim-7B-C-DPO/
RichardErkhov/0-hero_-_Matter-0.1-Slim-7B-C-gguf,0-hero/Matter-0.1-Slim-7B-C/
RichardErkhov/0-hero_-_Matter-0.1-Slim-7B-preview-gguf,0-hero/Matter-0.1-Slim-7B-preview/
RichardErkhov/0-hero_-_Matter-0.2-7B-gguf,0-hero/Matter-0.2-7B/
RichardErkhov/01-ai_-_Yi-1.5-34B-32K-gguf,01-ai/Yi-1.5-34B-32K/
LiteLLMs/Yi-1.5-34B-Chat-GGUF,01-ai/Yi-1.5-34B-Chat
bartowski/Yi-1.5-34B-Chat-GGUF,01-ai/Yi-1.5-34B-Chat
bartowski/Yi-1.5-34B-Chat-exl2,01-ai/Yi-1.5-34B-Chat
MaziyarPanahi/Yi-1.5-34B-Chat-GGUF,01-ai/Yi-1.5-34B-Chat
bartowski/Yi-1.5-34B-Chat-16K-GGUF,01-ai/Yi-1.5-34B-Chat-16K
RichardErkhov/01-ai_-_Yi-1.5-34B-Chat-16K-gguf,01-ai/Yi-1.5-34B-Chat-16K/
RichardErkhov/01-ai_-_Yi-1.5-34B-Chat-gguf,01-ai/Yi-1.5-34B-Chat/
RichardErkhov/01-ai_-_Yi-1.5-34B-gguf,01-ai/Yi-1.5-34B/
janhq/yi-1.5,01-ai/Yi-1.5-6B
MaziyarPanahi/Yi-1.5-6B-Chat-GGUF,01-ai/Yi-1.5-6B-Chat
bartowski/Yi-1.5-6B-Chat-exl2,01-ai/Yi-1.5-6B-Chat
bartowski/Yi-1.5-6B-Chat-GGUF,01-ai/Yi-1.5-6B-Chat
RichardErkhov/01-ai_-_Yi-1.5-6B-Chat-gguf,01-ai/Yi-1.5-6B-Chat/
RichardErkhov/01-ai_-_Yi-1.5-6B-Chat-8bits,01-ai/Yi-1.5-6B-Chat/
RichardErkhov/01-ai_-_Yi-1.5-6B-Chat-4bits,01-ai/Yi-1.5-6B-Chat/
RichardErkhov/01-ai_-_Yi-1.5-6B-gguf,01-ai/Yi-1.5-6B/
RichardErkhov/01-ai_-_Yi-1.5-6B-8bits,01-ai/Yi-1.5-6B/
RichardErkhov/01-ai_-_Yi-1.5-6B-4bits,01-ai/Yi-1.5-6B/
RichardErkhov/01-ai_-_Yi-1.5-9B-32K-4bits,01-ai/Yi-1.5-9B-32K/
RichardErkhov/01-ai_-_Yi-1.5-9B-32K-gguf,01-ai/Yi-1.5-9B-32K/
MaziyarPanahi/Yi-1.5-9B-Chat-GGUF,01-ai/Yi-1.5-9B-Chat
bartowski/Yi-1.5-9B-Chat-GGUF,01-ai/Yi-1.5-9B-Chat
bartowski/Yi-1.5-9B-Chat-exl2,01-ai/Yi-1.5-9B-Chat
solidrust/Yi-1.5-9B-Chat-AWQ,01-ai/Yi-1.5-9B-Chat
RichardErkhov/01-ai_-_Yi-1.5-9B-Chat-16K-4bits,01-ai/Yi-1.5-9B-Chat-16K/
RichardErkhov/01-ai_-_Yi-1.5-9B-Chat-16K-gguf,01-ai/Yi-1.5-9B-Chat-16K/
RichardErkhov/01-ai_-_Yi-1.5-9B-Chat-4bits,01-ai/Yi-1.5-9B-Chat/
RichardErkhov/01-ai_-_Yi-1.5-9B-Chat-gguf,01-ai/Yi-1.5-9B-Chat/
RichardErkhov/01-ai_-_Yi-1.5-9B-4bits,01-ai/Yi-1.5-9B/
RichardErkhov/01-ai_-_Yi-1.5-9B-gguf,01-ai/Yi-1.5-9B/
TheBloke/Yi-34B-GPTQ,01-ai/Yi-34B
TheBloke/Yi-34B-GGUF,01-ai/Yi-34B
TheBloke/Yi-34B-AWQ,01-ai/Yi-34B
TheBloke/Yi-34B-200K-GGUF,01-ai/Yi-34B-200K
TheBloke/Yi-34B-200K-AWQ,01-ai/Yi-34B-200K
TheBloke/Yi-34B-200K-GPTQ,01-ai/Yi-34B-200K
Sombressoul/Yi-34B-200K-AWQ,01-ai/Yi-34B-200K
Nexusflow/Starling-RM-34B,01-ai/Yi-34B-Chat
TheBloke/Yi-34B-Chat-GPTQ,01-ai/Yi-34B-Chat
TheBloke/Yi-34B-Chat-AWQ,01-ai/Yi-34B-Chat
pharaouk/starling-RM,01-ai/Yi-34B-Chat
gizmo-ai/Yi-34B-Chat-AWQ,01-ai/Yi-34B-Chat
TheBloke/Yi-34B-Chat-GGUF,01-ai/Yi-34B-Chat
RichardErkhov/01-ai_-_Yi-34B-Chat-4bits,01-ai/Yi-34B-Chat/
RichardErkhov/01-ai_-_Yi-34B-Chat-gguf,01-ai/Yi-34B-Chat/
RichardErkhov/01-ai_-_Yi-34B-gguf,01-ai/Yi-34B/
TheBloke/Yi-6B-GPTQ,01-ai/Yi-6B
TheBloke/Yi-6B-GGUF,01-ai/Yi-6B
Jezzarax/yi-6B-GGUF,01-ai/Yi-6B
TheBloke/Yi-6B-AWQ,01-ai/Yi-6B
Sombressoul/Yi-6B-200K-AWQ,01-ai/Yi-6B-200K
ildodeltaRule/Yi-6B-200K-AWQ-VLLM,01-ai/Yi-6B-200K
TheBloke/Yi-6B-200K-AWQ,01-ai/Yi-6B-200K
