current_model,base_model,base_model_relation
abacusai/Slerp-CM-mist-dpo,"cookinai/CatMacaroni-Slerp,mncai/mistral-7b-dpo-v5",merge
aifeifei798/llama3-8B-DarkIdol-1.0,"Gryphe/Pantheon-RP-1.0-8b-Llama-3,cgato/L3-TheSpice-8b-v0.8.3,ChaoticNeutrals/Poppy_Porpoise-1.4-L3-8B",merge
aifeifei798/llama3-8B-DarkIdol-2.1-Uncensored-32K,"Nitral-AI/Hathor_Fractionate-L3-8B-v.05,Hastagaras/Jamet-8B-L3-MK.V-Blackroot,turboderp/llama3-turbcat-instruct-8b,Sao10K/L3-8B-Stheno-v3.3-32K,theminji/Llama3-Toxic-8B-Float16,cgato/L3-TheSpice-8b-v0.8.3",merge
akjindal53244/Llama-3.1-Storm-8B,"meta-llama/Llama-3.1-8B-Instruct,arcee-ai/Llama-Spark",merge
alnrg2arg/blockchainlabs_7B_merged_test2_4,"mlabonne/NeuralBeagle14-7B,udkai/Turdus",merge
answerdotai/answerai-colbert-small-v1,"bge-small-en-v1.5,thenlper/gte-small,microsoft/MiniLM-L12-H384-uncased",merge
arcee-ai/Llama-Spark,"meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct",merge
Arkana08/LexiMaid-L3-8B,"NeverSleep/Lumimaid-v0.2-8B,SicariusSicariiStuff/Dusk_Rainbow,Sao10K/Llama-3.1-8B-Stheno-v3.4,nothingiisreal/L3.1-8B-Celeste-V1.5,Orenguteng/Llama-3.1-8B-Lexi-Uncensored-V2",merge
Arkana08/Mythorica-L3-8B,"ChaoticNeutrals/Hathor_Tahsin-L3-8B-v0.9,Sao10K/L3-8B-Chara-v1-Alpha,Arkana08/LexiMaid-L3-8B",merge
Aryanne/Astrea-RP-v1-3B,"euclaise/Echo-3B,stabilityai/stablelm-zephyr-3b,Aryanne/Astridboros-3B,euclaise/Ferret-3B",merge
athirdpath/Eileithyia-13B,"athirdpath/Eileithyia-13B-LORA,KoboldAI/LLaMA2-13B-TiefighterLR",merge
bunnycore/Best-Mix-Llama-3.1-8B,"DreadPoor/Aurora_faustus-8B-LINEAR,bunnycore/Llama-3.1-8B-TitanFusion-Mix,Joseph717171/Llama-3.1-SuperNova-8B-Lite_TIES_with_Base,nvidia/OpenMath2-Llama3.1-8B,vicgalle/Configurable-Llama-3.1-8B-Instruct",merge
bunnycore/Cognitron-8B,"Orenguteng/Llama-3-8B-Lexi-Uncensored,Weyaxi/Einstein-v6.1-Llama3-8B,cognitivecomputations/dolphin-2.9-llama3-8b",merge
bunnycore/HyperLlama-3.1-8B,"Dampfinchen/Llama-3.1-8B-Ultra-Instruct,Orenguteng/Llama-3.1-8B-Lexi-Uncensored-V2",merge
bunnycore/HyperLLama3.1-Mix-8B,"bunnycore/HyperLlama-3.1-8B,vicgalle/Configurable-Llama-3.1-8B-Instruct,xinchen9/Llama3.1_CoT,Orenguteng/Llama-3.1-8B-Lexi-Uncensored-V2,vicgalle/Humanish-Roleplay-Llama-3.1-8B,unsloth/Meta-Llama-3.1-8B",merge
bunnycore/Qandora-2.5-7B,"rombodawg/Rombos-LLM-V2.5-Qwen-7b,fblgit/cybertron-v4-qw7B-MGS",merge
chujiezheng/Llama-3-Instruct-8B-SimPO-ExPO,"princeton-nlp/Llama-3-Instruct-8B-SimPO,meta-llama/Meta-Llama-3-8B-Instruct",merge
chujiezheng/LLaMA3-iterative-DPO-final-ExPO,"RLHFlow/LLaMA3-iterative-DPO-final,RLHFlow/LLaMA3-SFT",merge
CorticalStack/neurotic-crown-clown-7b-ties,"mlabonne/NeuralMonarch-7B,mlabonne/AlphaMonarch-7B,bardsai/jaskier-7b-dpo-v5.6",merge
CorticalStack/pastiche-crown-clown-7b-dare,"bardsai/jaskier-7b-dpo-v5.6,mlabonne/AlphaMonarch-7B,mlabonne/NeuralMonarch-7B,macadeliccc/MBX-7B-v3-DPO",merge
